User_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Purchase
1000001,F,0-17,10,A,2,0,8370
1000001,F,0-17,10,A,2,0,15200
1000001,F,0-17,10,A,2,0,1422
1000001,F,0-17,10,A,2,0,1057
1000003,M,26-35,15,A,3,0,15227
1000004,M,46-50,7,B,2,1,19215
1000004,M,46-50,7,B,2,1,15854
1000004,M,46-50,7,B,2,1,15686
1000005,M,26-35,20,A,1,1,5254
1000005,M,26-35,20,A,,1,3957
1000005,M,26-35,,A,1,1,6073
1000005,M,26-35,20,A,1,1,15665
1000006,F,51-55,9,A,1,0,2079
1000006,F,51-55,9,A,1,0,13055
1000006,F,51-55,9,A,1,0,8851
1000007,M,36-45,1,B,1,1,11788
1000008,M,26-35,12,C,4+,1,8584
1000008,M,26-35,12,C,4+,1,9872
1000008,M,26-35,12,C,4+,1,9743
1000008,M,26-35,12,C,4+,1,5982
1000009,M,26-35,17,C,0,0,16662
1000009,M,26-35,17,C,0,0,5887
1000009,M,26-35,17,C,0,0,6973
1000009,M,26-35,17,C,0,0,5391
1000010,F,36-45,1,B,4+,1,8886
1000010,F,36-45,1,B,4+,1,5875
1000010,F,36-45,1,B,4+,1,8854
1000010,F,36-45,,B,4+,1,10946
1000010,F,36-45,1,B,4+,1,7089
1000010,F,36-45,1,B,4+,1,12909
1000010,F,36-45,1,B,4+,1,8770
1000010,F,36-45,1,B,4+,1,15212
1000010,F,36-45,1,B,4+,1,7947
1000010,F,36-45,1,B,4+,1,18963
1000010,F,36-45,1,B,4+,1,8718
1000010,F,36-45,1,B,4+,1,16406
1000010,F,36-45,1,B,4+,1,10007
1000010,F,36-45,1,B,4+,1,11562
1000011,F,26-35,1,C,1,0,6171
1000011,F,26-35,1,C,1,0,19327
1000012,M,26-35,12,C,2,0,15246
1000012,M,26-35,12,C,,0,6865
1000013,M,46-50,1,C,3,1,5839
1000013,M,46-50,1,C,3,1,15912
1000014,M,36-45,0,C,0,0,5848
1000015,M,26-35,7,A,1,0,19653
1000015,M,26-35,7,A,1,0,5958
1000015,M,26-35,7,A,1,0,11415
1000015,M,26-35,7,A,1,0,3594
1000015,M,26-35,7,A,1,0,4209
1000015,M,26-35,7,A,1,0,5407
1000015,M,26-35,7,A,1,0,7803
1000016,F,36-45,0,C,0,1,11755
1000016,F,36-45,0,C,0,1,8702
1000017,M,51-55,1,C,0,0,15872
1000017,M,51-55,1,C,0,0,8609
1000018,F,18-25,3,B,3,0,1780
1000018,F,18-25,3,B,3,0,10754
1000018,F,18-25,3,B,3,0,2802
1000018,F,18-25,3,B,3,0,19473
1000018,F,18-25,3,B,3,0,19313
1000018,F,18-25,3,B,3,0,15182
1000018,F,18-25,3,B,3,0,15985
1000018,F,18-25,3,B,3,0,16454
1000018,F,18-25,3,B,3,0,697
1000018,F,18-25,3,B,3,0,7030
1000018,F,18-25,3,B,3,0,5430
1000018,F,18-25,3,B,3,0,8011
1000019,M,0-17,10,A,3,0,7746
1000019,M,0-17,10,A,3,0,19525
1000019,M,0-17,10,A,3,0,11959
1000019,M,0-17,10,A,3,0,19172
1000019,M,0-17,10,A,3,0,11023
1000019,M,0-17,10,A,3,0,4654
1000019,M,0-17,10,A,3,0,4664
1000019,M,0-17,10,A,3,0,8290
1000019,M,0-17,10,A,3,0,4211
1000019,M,0-17,10,A,3,0,1539
1000021,M,18-25,16,B,0,0,3055
1000022,M,18-25,15,A,4+,0,12099
1000022,M,18-25,15,A,4+,0,10681
1000022,M,18-25,15,A,4+,0,7801
1000022,M,18-25,15,A,4+,0,15517
1000022,M,18-25,15,A,4+,0,12098
1000022,M,18-25,15,A,4+,0,5384
1000022,M,18-25,15,A,4+,0,6973
1000022,M,18-25,15,A,4+,0,5168
1000022,M,18-25,15,A,4+,0,3449
1000022,M,18-25,15,A,4+,0,4570
1000022,M,18-25,15,A,4+,0,9564
1000023,M,36-45,0,B,3,1,15766
1000023,M,36-45,0,B,3,1,8481
1000023,M,36-45,0,B,3,1,15354
1000023,M,36-45,0,B,3,1,12015
1000023,M,36-45,0,B,3,1,15371
1000023,M,36-45,0,B,3,1,19239
1000023,M,36-45,0,B,3,1,11887
1000023,M,36-45,0,B,3,1,5183
1000023,M,36-45,0,B,3,1,584
1000023,M,36-45,0,B,3,1,7601
1000024,F,26-35,7,A,3,1,6940
1000024,F,26-35,7,A,3,1,15774
1000025,M,18-25,4,C,4+,0,15361
1000025,M,18-25,4,C,4+,0,15770
1000026,M,26-35,7,B,2,1,1848
1000026,M,26-35,7,B,2,1,3624
1000026,M,26-35,7,B,2,1,5275
1000026,M,26-35,7,B,2,1,5356
1000026,M,26-35,7,B,2,1,9734
1000026,M,26-35,7,B,2,1,7814
1000026,M,26-35,7,B,2,1,6098
1000026,M,26-35,7,B,2,1,5195
1000026,M,26-35,7,B,2,1,16093
1000026,M,26-35,7,B,2,1,3702
1000027,M,26-35,11,C,1,1,8696
1000027,M,26-35,11,C,1,1,7730
1000027,M,26-35,11,C,1,1,16500
1000027,M,26-35,11,C,1,1,15903
1000028,F,26-35,1,C,2,1,758
1000028,F,26-35,1,C,2,1,6904
1000028,F,26-35,1,C,2,1,8624
1000028,F,26-35,1,C,2,1,3904
1000029,M,36-45,7,C,1,0,19068
1000029,M,36-45,7,C,1,0,7963
1000029,M,36-45,7,C,1,0,11859
1000030,F,36-45,7,C,3,0,9735
1000030,F,36-45,7,C,3,0,4166
1000030,F,36-45,7,C,3,0,6927
1000031,M,55+,7,C,2,0,5248
1000031,M,55+,7,C,2,0,10592
1000031,M,55+,7,C,2,0,3482
1000032,F,26-35,0,C,3,1,7134
1000033,M,46-50,3,A,1,1,17391
1000033,M,46-50,3,A,1,1,6074
1000033,M,46-50,3,A,1,1,6119
1000033,M,46-50,3,A,1,1,15333
1000033,M,46-50,3,A,1,1,5265
1000033,M,46-50,3,A,1,1,7888
1000033,M,46-50,3,A,1,1,4035
1000033,M,46-50,3,A,1,1,5280
1000033,M,46-50,3,A,1,1,811
1000033,M,46-50,3,A,1,1,2846
1000033,M,46-50,3,A,1,1,7994
1000033,M,46-50,3,A,1,1,3897
1000034,F,18-25,0,A,0,0,8593
1000034,F,18-25,0,A,0,0,6917
1000034,F,18-25,0,A,0,0,5329
1000034,F,18-25,0,A,0,0,5942
1000034,F,18-25,0,A,0,0,7165
1000034,F,18-25,0,A,0,0,9846
1000034,F,18-25,0,A,0,0,8701
1000034,F,18-25,0,A,0,0,8757
1000035,M,46-50,1,C,4+,1,6139
1000035,M,46-50,1,C,4+,1,5897
1000035,M,46-50,1,C,4+,1,3990
1000035,M,46-50,1,C,4+,1,6153
1000035,M,46-50,1,C,4+,1,10767
1000036,M,26-35,3,B,0,0,2832
1000036,M,26-35,3,B,0,0,8066
1000036,M,26-35,3,B,0,0,15812
1000036,M,26-35,3,B,0,0,6922
1000036,M,26-35,3,B,0,0,8621
1000036,M,26-35,3,B,0,0,7030
1000036,M,26-35,3,B,0,0,7172
1000036,M,26-35,3,B,0,0,6871
1000036,M,26-35,3,B,0,0,7171
1000036,M,26-35,3,B,0,0,7139
1000036,M,26-35,3,B,0,0,16280
1000036,M,26-35,3,B,0,0,3664
1000036,M,26-35,3,B,0,0,7869
1000036,M,26-35,3,B,0,0,16866
1000036,M,26-35,3,B,0,0,20442
1000036,M,26-35,3,B,0,0,15285
1000036,M,26-35,3,B,0,0,15524
1000036,M,26-35,3,B,0,0,19278
1000036,M,26-35,3,B,0,0,15445
1000039,M,18-25,4,B,2,0,12464
1000039,M,18-25,4,B,2,0,15319
1000041,F,18-25,4,C,3,0,5915
1000041,F,18-25,4,C,3,0,6025
1000042,M,26-35,8,C,0,1,6027
1000042,M,26-35,8,C,0,1,7040
1000042,M,26-35,8,C,0,1,11965
1000042,M,26-35,8,C,0,1,15469
1000042,M,26-35,8,C,0,1,2826
1000042,M,26-35,8,C,0,1,4013
1000042,M,26-35,8,C,0,1,5914
1000042,M,26-35,8,C,0,1,7176
1000044,M,46-50,17,B,3,1,19072
1000044,M,46-50,17,B,3,1,7179
1000044,M,46-50,17,B,3,1,7995
1000044,M,46-50,17,B,3,1,4124
1000044,M,46-50,17,B,3,1,11799
1000044,M,46-50,17,B,3,1,13251
1000044,M,46-50,17,B,3,1,3524
1000044,M,46-50,17,B,3,1,15853
1000044,M,46-50,17,B,3,1,11693
1000044,M,46-50,17,B,3,1,7852
1000044,M,46-50,17,B,3,1,1582
1000045,F,46-50,16,A,1,1,6950
